epoch,average_precision,accuracy,f1,roc_auc
0,0.8456265394667272,0.8401880141010576,0.9124839124839125,0.5134435962680237
1,0.8548606255023747,0.8460634547591069,0.9165073295092415,0.526039016115352
2,0.864628859868037,0.8460634547591069,0.916613621896881,0.5510284139100933
3,0.8728002032911694,0.8460634547591069,0.916613621896881,0.5792514843087362
4,0.879709292975648,0.8460634547591069,0.916613621896881,0.6019826123833758
5,0.8858564684372678,0.8460634547591069,0.916613621896881,0.6232718405428329
6,0.8913544743211677,0.8460634547591069,0.916613621896881,0.6442217981340118
7,0.8971107111595447,0.8460634547591069,0.916613621896881,0.6604431721798134
8,0.9042541071013201,0.8460634547591069,0.916613621896881,0.6788804071246819
9,0.9092760821328414,0.8460634547591069,0.916613621896881,0.6953456318914335
10,0.9145118386280436,0.8460634547591069,0.916613621896881,0.7113019508057676
11,0.9204382273102205,0.8460634547591069,0.916613621896881,0.7275445292620866
12,0.9257432810880504,0.8460634547591069,0.916613621896881,0.7425360474978795
13,0.929119843324062,0.8460634547591069,0.916613621896881,0.7523112807463953
14,0.9320985021938102,0.8460634547591069,0.916613621896881,0.760008481764207
15,0.9328729000478714,0.8460634547591069,0.916613621896881,0.7630301102629348
16,0.9340059874191944,0.8472385428907168,0.9171974522292994,0.7655534351145039
17,0.9353568173921007,0.8507638072855465,0.918849840255591,0.7677056827820187
18,0.9364214512252164,0.8531139835487661,0.919093851132686,0.7690733672603901
19,0.9377548328417091,0.8519388954171563,0.9173228346456693,0.7713104325699746
20,0.9392501917440089,0.8507638072855465,0.9156146179401994,0.7755513146734521
21,0.9414236219519381,0.8507638072855465,0.9152768512341561,0.7809160305343512
22,0.9433100558940388,0.8531139835487661,0.9163879598662207,0.7859414758269718
23,0.9443693953093494,0.8531139835487661,0.9162759544541192,0.7897476675148432
24,0.9457355320352985,0.8507638072855465,0.9147078576225655,0.7938825275657336
25,0.9473633555805315,0.8484136310223267,0.9132481506388702,0.7985793044953351
26,0.9488796602869901,0.8519388954171563,0.9149797570850202,0.8029050042408821
27,0.9500906850764835,0.8531139835487661,0.9155975692099932,0.8079410517387617
28,0.9507014596545793,0.854289071680376,0.9162162162162162,0.8122137404580152
29,0.9516566338684056,0.854289071680376,0.9162162162162162,0.8172815945716709
30,0.9528775981242026,0.854289071680376,0.9162162162162162,0.8224130619168788
31,0.953334546630611,0.8613396004700352,0.9198369565217391,0.8266433418150976
32,0.9543530803139342,0.8625146886016452,0.920462270564242,0.830820610687023
33,0.9554591610004829,0.8719153936545241,0.9259007477906186,0.835941475826972
34,0.958163414001234,0.8742655699177438,0.9270620313565099,0.8419211195928753
35,0.961455403467709,0.882491186839013,0.9315068493150684,0.8478477523324851
36,0.9640111243925824,0.8836662749706228,0.9318651066758431,0.8543893129770992
37,0.9660559127815256,0.8848413631022327,0.9324137931034483,0.8615245971162
38,0.9674760483257738,0.8883666274970623,0.9342560553633218,0.8665606446140797
39,0.9689754998038154,0.8883666274970623,0.9339819318971508,0.8717663273960985
40,0.9699360335389202,0.8965922444183314,0.9392265193370166,0.8773642917726886
41,0.9716131328238232,0.900117508813161,0.9413388543823327,0.8828668363019507
42,0.9728060148226931,0.8930669800235017,0.9368494101318529,0.8868532654792196
43,0.9745469863598419,0.8954171562867215,0.9383229383229383,0.8927056827820187
44,0.976177051210386,0.9024676850763808,0.9427980702963473,0.897752332485157
45,0.976895940363875,0.8989424206815512,0.9403606102635229,0.90073155216285
46,0.9767581345459496,0.900117508813161,0.940848990953375,0.9022052586938083
47,0.9758859185977455,0.9130434782608695,0.9490358126721763,0.9020356234096693
48,0.976195847467609,0.9142185663924794,0.9496204278812974,0.904018235793045
49,0.9773463158586467,0.9106933019976499,0.9472222222222222,0.9076972010178117
50,0.9786219250305233,0.9106933019976499,0.9471488178025035,0.912362171331637
51,0.980140525896283,0.917743830787309,0.9517906336088154,0.91671967769296
52,0.9816624312686844,0.917743830787309,0.9515905947441217,0.9207591178965224
53,0.982621736140459,0.918918918918919,0.9523151347615757,0.9241412213740459
54,0.9834879973068623,0.9236192714453584,0.9548924358084664,0.9277247667514844
55,0.9836923326767731,0.9259694477085781,0.9562803608605135,0.9297073791348599
56,0.9836599324937604,0.9306698002350177,0.9595058339052849,0.9303753180661578
57,0.9852839673830658,0.9341950646298472,0.9612724757952974,0.9365458015267175
58,0.9861479118788566,0.9353701527614571,0.9619377162629758,0.9400551314673452
59,0.9868839800296392,0.9341950646298472,0.9614325068870524,0.9431721798134012
60,0.9867018951841636,0.9388954171562868,0.9640387275242047,0.9435008481764207
61,0.9852107124987457,0.9412455934195064,0.9657064471879286,0.9407442748091603
62,0.9868924766550139,0.9400705052878966,0.9646079111727967,0.9458333333333333
63,0.9867243218059198,0.9412455934195064,0.9655172413793104,0.9465648854961831
64,0.9877684301532961,0.9459459459459459,0.9680555555555556,0.9492154368108566
65,0.9884567429586119,0.9459459459459459,0.9680998613037448,0.9517811704834607
66,0.9885587255541521,0.9494712103407755,0.9703652653342523,0.9531700593723493
67,0.989302733537933,0.9494712103407755,0.9702009702009702,0.9552268871925361
68,0.9900203044343654,0.9565217391304348,0.9745354439091535,0.958789228159457
69,0.9900889545819739,0.9553466509988249,0.9737206085753803,0.9599872773536896
70,0.9899418357266139,0.9506462984723855,0.9708333333333333,0.959626802374894
71,0.9900738861260782,0.9588719153936546,0.9758454106280193,0.9597116200169636
72,0.9909680702254531,0.9623971797884842,0.977961432506887,0.9620653095843936
73,0.9916623890769222,0.9612220916568742,0.9773507206588882,0.9649491094147583
74,0.9919761182149822,0.9659224441833137,0.9799307958477509,0.9659669211195929
75,0.9928460367546004,0.9682726204465335,0.981417756366139,0.9688189143341815
76,0.9922825168423666,0.9682726204465335,0.9813407049067036,0.9669953350296863
77,0.9915563416303189,0.9647473560517039,0.9792817679558011,0.9641433418150975
78,0.9925297577869161,0.9670975323149236,0.9806362378976486,0.9669741306191688
79,0.9930022725525581,0.9706227967097533,0.9827467218771566,0.9695080576759966
80,0.9922576097502166,0.9706227967097533,0.9826749826749827,0.9675466497031383
81,0.9918272595267366,0.9717978848413631,0.9834710743801653,0.9662001696352841
82,0.9932436880666051,0.9717978848413631,0.983402489626556,0.9706318914334182
83,0.9933020482032567,0.9717978848413631,0.9833795013850416,0.9711407972858354
84,0.9935094463141486,0.972972972972973,0.9840830449826989,0.9718087362171332
85,0.9928218526511072,0.972972972972973,0.9840830449826989,0.9695822731128074
86,0.9919160508587591,0.9741480611045829,0.9848066298342542,0.9675042408821035
87,0.9928012296509788,0.9741480611045829,0.9847856154910097,0.9699533502968617
88,0.9926381082771907,0.9706227967097533,0.9826509368494102,0.9696564885496184
89,0.992541881558671,0.9753231492361927,0.9854872149274361,0.9686651823579304
90,0.9936407945747932,0.972972972972973,0.9840609840609841,0.9728901611535199
91,0.9940849232596582,0.9788484136310224,0.9875690607734806,0.9742578456318916
92,0.9940398077512266,0.9800235017626322,0.9882515549412578,0.9741306191687871
93,0.9929945750139455,0.9776733254994124,0.986869384934347,0.9711089906700594
94,0.9942582425086567,0.9788484136310224,0.9875346260387812,0.9746289228159457
95,0.994121615807664,0.9764982373678026,0.9861495844875346,0.9741836301950806
96,0.9936550740444547,0.9788484136310224,0.9875518672199171,0.9733884648006785
97,0.9939999847616288,0.9764982373678026,0.986130374479889,0.9743744698897371
98,0.9945400614258878,0.981198589894242,0.9889349930843707,0.9759648006785411
99,0.9944152446690826,0.981198589894242,0.988950276243094,0.9754877014418999
100,0.9950034558093561,0.9800235017626322,0.9882677708764666,0.9776081424936387
101,0.9950731993932972,0.9788484136310224,0.9875173370319001,0.9782654792196777
102,0.995188480711279,0.982373678025852,0.989648033126294,0.9783078880407124
103,0.9948019982095878,0.9847238542890717,0.9910034602076124,0.9773112807463953
104,0.9953031058626309,0.9858989424206815,0.991701244813278,0.9789652247667515
105,0.9950620718970649,0.9858989424206815,0.991701244813278,0.9780322307039864
106,0.9951388573966249,0.9835487661574618,0.9903047091412742,0.9783290924512299
107,0.9949452757269528,0.9858989424206815,0.991701244813278,0.9778837998303648
108,0.9950951682322635,0.9788484136310224,0.9875,0.9783715012722647
109,0.9959793052796694,0.9858989424206815,0.991701244813278,0.9814885496183207
110,0.9956934275012691,0.9847238542890717,0.9910034602076124,0.9807675996607295
111,0.9956468751623562,0.9858989424206815,0.991701244813278,0.9805237489397794
112,0.995729870638455,0.9858989424206815,0.991701244813278,0.9809160305343511
113,0.9957219278323075,0.9858989424206815,0.991701244813278,0.9808630195080577
114,0.9961840485236422,0.9858989424206815,0.991701244813278,0.9823897370653096
115,0.9956492551600454,0.981198589894242,0.9888888888888889,0.9807569974554707
116,0.9964976941402696,0.9858989424206815,0.991701244813278,0.983587786259542
117,0.9965213616781757,0.9858989424206815,0.991701244813278,0.9837468193384225
118,0.9965134812932179,0.9847238542890717,0.9910034602076124,0.9838952502120442
119,0.9961408684093214,0.982373678025852,0.9895905621096461,0.9827184054283291
120,0.9965804664733602,0.9858989424206815,0.9916897506925207,0.9844041560644614
121,0.9966969767945122,0.9858989424206815,0.9916897506925207,0.9848282442748091
