epoch,train_loss
0,0.5798242032597964
1,0.5002174978740908
2,0.4603987126386824
3,0.43864085815067716
4,0.4304739785600633
5,0.4270815104421241
6,0.42287506035295974
7,0.42407644446392034
8,0.4227144952456343
9,0.42144958522569137
10,0.4191063378798555
11,0.41758265867216465
12,0.41797180486061597
13,0.41281983095246394
14,0.413065481970369
15,0.41062126141457383
16,0.40717721041445165
17,0.40251674292090356
18,0.4009253388636261
19,0.3948994794057203
20,0.38981508522280234
21,0.3861433785544439
22,0.3902954569504488
23,0.379456570404817
24,0.3798830420584292
25,0.37058173570033387
26,0.37151045037912844
27,0.3661913371324259
28,0.36486244628908493
29,0.35938063403974546
30,0.35893721190378614
31,0.35212460661046513
32,0.34927388747276344
33,0.34486490460036084
34,0.3376990459710535
35,0.3361077220753693
36,0.3325606221738069
37,0.3251194344389172
38,0.3237565675472401
39,0.3190304199726125
40,0.31868304893567057
41,0.3032533340637608
42,0.30897909140194624
43,0.2968175566539641
44,0.2868163783702951
45,0.29253662187610474
46,0.28267913878174145
47,0.27941138214146066
48,0.27705449799182974
49,0.27259973362175755
50,0.2567733499964592
51,0.2621340936905629
52,0.26227902749730614
53,0.26005478805646776
54,0.24515104353357847
55,0.2491224075806547
56,0.24397998312805572
57,0.23592539382036928
58,0.23441318509231304
59,0.2454090951017151
60,0.23688930456912896
61,0.22724439415612316
62,0.22276167737891336
63,0.2203305260520144
64,0.2097086353111491
65,0.2057100489788134
66,0.20583784921679177
67,0.20370027193521642
68,0.21013867671215156
69,0.19599882839849497
70,0.19591503995705994
71,0.18532151770017402
72,0.17389576109049604
73,0.17873133636669603
74,0.18009564811068332
75,0.1884175539542029
76,0.1705749934904724
77,0.1694498047950545
78,0.17379534071186595
79,0.1777569703083621
80,0.16652746978363617
81,0.17912599071422558
82,0.16739178821006756
83,0.15277993878662657
84,0.154501584385873
85,0.14750675492855414
86,0.14831070821692885
87,0.14872551069416534
88,0.15514846617130498
89,0.15294336166876324
90,0.14983653229005747
91,0.13329286791042771
92,0.13836666815569482
93,0.12463892991933644
94,0.13801157119061216
95,0.1336129829287529
96,0.1279013510596458
97,0.14175358984606246
98,0.12302205883202906
99,0.12833897382476214
100,0.12026483942913253
101,0.12274662599615428
102,0.11916165580025291
103,0.128832207136863
104,0.11270679728720079
105,0.11523212854926651
106,0.10892639422984017
107,0.12011791133572436
108,0.11759939485094942
109,0.11445210484479205
110,0.11236453570259164
111,0.1115101141861687
112,0.10305776651926803
113,0.09488712393894319
114,0.1106371644941256
115,0.10270136995755408
116,0.10629891782788917
117,0.10541050065173105
118,0.10030097007471302
119,0.09851195193940969
120,0.09951443524569378
121,0.09547477091206227
122,0.09449202056041756
123,0.09347830469403788
124,0.09596477797392812
125,0.09698529805896144
126,0.09361804556867631
127,0.08749952152388916
128,0.08573357009719598
129,0.09265487327663935
130,0.09799516252674312
131,0.08932069700417031
132,0.09381122555316686
133,0.09106974202163351
134,0.08810298197347885
135,0.09571478432690074
136,0.09065007522579646
137,0.08317583172497822
138,0.08488693814965449
139,0.09029050764970298
140,0.08058170068978422
141,0.08872267331590944
142,0.08189427709922667
143,0.07328535728462995
144,0.08458821872986862
145,0.08376622633389104
146,0.0860109343231775
147,0.08915587254612763
148,0.08412290326856979
149,0.07426314119831795
150,0.07258736348320258
151,0.07486478598256509
152,0.08176786551464318
153,0.06860163075068022
154,0.08307329779786313
155,0.07426998259983388
156,0.07570194335682832
157,0.08437020508473965
158,0.07447934838845784
159,0.07032567868501684
160,0.07706826584704754
161,0.07086559943635931
162,0.07462521913854271
163,0.0726034904006085
164,0.06835492773881109
165,0.07174348204312397
166,0.06987790829916818
167,0.0775736485171262
168,0.06402695408368923
169,0.0744981286143304
170,0.07559964741053789
171,0.07054372944296737
172,0.06273754113534362
173,0.0679594590542039
174,0.06415316515047317
175,0.06507393562800735
176,0.06556555022048895
177,0.06734067908150049
178,0.0649114981661392
179,0.06931746559333578
180,0.06731200484355385
181,0.07112814186602726
182,0.06566947247706065
183,0.06882654512180705
184,0.06687625794377086
185,0.0689398603542291
186,0.06770078244276528
187,0.06268794304055417
188,0.06483003137289567
189,0.07078993572611646
190,0.06694984717949017
191,0.07557947217507592
192,0.06730479600846978
193,0.06045550892411892
194,0.06067964649998903
195,0.06294843118493341
196,0.06034698702403717
197,0.057433554502127455
198,0.05404144978166047
199,0.05565230789146748
